id_ressource|code|titre|sous_titre|format|chemin|description|type_licence|temps_investi
11|T1.3|Pistes de résolution des problèmes techniques courants vécus par les personnes étudiantes lors de rencontres synchrones.|À déterminer|Aide-mémoire|À déterminer|Document à avoir tout près lors les séances synchrones|CC-BY-NC-SA|15 minutes et moins
12|T1.4|Les 5 grandes stratégies pour favoriser la prévention des problèmes techniques.|À déterminer|Aide-mémoire|À déterminer|Document préparatoire pour les séances synchrones afin d’anticiper des problèmes techniques|CC-BY-NC-SA|15 minutes et moins
13|T1.5|Tableau synthèse de logiciels libres d’accès pour remplacer différents logiciels institutionnels de webconférence en cas de problèmes techniques.|À déterminer|Aide-mémoire|À déterminer|À déterminer|À déterminer|À déterminer
14|T1.6a|Les services pédagogiques institutionnels et facultaires : des alliés à connaiître! (version destinée aux personnes formatrices)|À déterminer|Aide-mémoire|À déterminer|À déterminer|À déterminer|À déterminer
15|T1.6b|Les services pédagogiques institutionnels et facultaires : des alliés à connaiître! (version destinée aux personnes étudiantes)|À déterminer|Aide-mémoire|À déterminer|À déterminer|À déterminer|À déterminer
16|TP1.1|Utiliser les réseaux sociaux pour susciter L'innovation pédagonumérique!|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
17|TP1.2|Des communautés de pratique pour favoriser le partage d'outils technologiques en soutien à l'apprentissage.|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
18|T7.a|Tests d'équipement en amont des rencontres synchrones (destiné aux formateurs)|À déterminer|Tutoriel|À déterminer|À déterminer|À déterminer|À déterminer
19|T7.b|Tests d'équipement en amont des rencontres synchrones (destiné aux étudiants)|À déterminer|Tutoriel|À déterminer|À déterminer|À déterminer|À déterminer
20|T8|Les paramètres de l'équipement qu'on doit ajuster lors d'une séance synchrone.|À déterminer|Aide-mémoire|À déterminer|À déterminer|À déterminer|À déterminer
21|T9|Le déroulement d'une séance de test en compagnie des étudiant.e.s|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
22|T.10|Conditions spatiales et matérielles recommandées pour la webconférence.|À déterminer|Aide-mémoire|À déterminer|Document préparatoire pour les séances synchrones (webconférence)|CC-BY-NC-SA|15 minutes et moins
23|T11|Des critères techniques pour choisir judicieusement les logiciels, gratuiciels et applications web à intégrer dans nos cours.|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
24|P4|Analyse coûts / bénéfices de l’usage de méthodes expositives vs méthodes actives.|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
25|EP17|Ajouter une touche de pédagogie active dans vos séances de cours magistrales.|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
26|TP.3|Planification pédagogique d’une activité collaborative en contexte de formation à distance (asynchrone et asynchrone), hybride ou comodal, présentiel enrichi|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
27|P.2|Articuler les activités réalisées en pédagogie inversée avec les activités réalisées en classe synchrone ou en présentiel : comment s’y prendre?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
28|P8|Articuler des situations d’apprentissage authentiques et non authentiques.|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
29|P7|Des situations d'apprentissage authentiques|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
30|P9|Activités d’apprentissage non authentique : à proscrire?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
31|ET.2|Les outils de mémorisation : approche ludique et gain pédagogique.|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
32|ET.1|Des outils TIC pour travailler l’acquisition de connaissances déclaratives avec les personnes étudiantes.|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
33|ETP.17|Taxonomie des outils TIC|À déterminer|Aide-mémoire|https://www.profnumeric.com/wp-content/uploads/2020/03/La-Roue-De-La-Pe%CC%81dagogie.png|Présenter une correspondance entre méthodes/outils et cibles d'apprentissage|CC-BY-NC-SA|15 minutes et moins
34|ETP.14|Des exemples d’activités d’apprentissage mobilisant les outils technologiques dans le but de mémoriser de l’information.|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
35|ET.9|Grille d’évaluation des qualités techniques d’un outil numériques utilisés à des fins pédagogiques.|À déterminer|Démarche d'analyse|À déterminer|Cet instrument d'évaluation permet d’obtenir un aperçu général d’une application ou d’un logiciel en vue de l’utiliser ou non dans le cadre d’un cours, de le recommander ou non à un collègue.|CC-BY-NC-SA|20 à 45 minutes
36|ET.4|Les outils d'organisation conceptuelle et de cartographie mentale: approche ludique et gain pédagogique.|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
37|ET.5|Des outils TIC pour travailler l’organisation conceptuelle et de cartographie mentale|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
38|ETP.16|Des exemples d’activités d’apprentissage mobilisant les outils technologiques dans le but d'organiser l'information.|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
39|ET.6|Les outils d'exercisation: approche ludique et gain pédagogique.|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
40|ET.7|Des outls TIC pour travailler sur la mise applivation d'un savoir faire.|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
41|ETP.15|Des exemples d’activités d’apprentissage mobilisant les outils technologiques d’appliquer un savoir-faire.|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
43|ET.8|Des outils numériques pour réaliser des tâches complexes : quelle courbe d’apprentissage?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
44|ET.10|Des exemples d’activités d’apprentissage mobilisant les outils technologiques pour réaliser une tâche complexe|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
45|TD.1|Illustrations pédagogiques mobilisant des outils technologiques propres à différents champs disciplinaires.|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
46|TD.2|Scénarios pédagogiques mobilisant des outils technologiques propres à différents champs disciplinaires pour réaliser une tâche complexe.|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
47|TD.3|Démarche d’appropriation d’un nouvel outil technologique.|À déterminer|Tutoriel|À déterminer|À déterminer|À déterminer|À déterminer
48|TD.4|L’illustration pédagogique à l’aide d’un outil technologique : comment s’y prendre?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
49|TD.5|La conception de mises en situation authentique : quelle place donner aux outils TIC?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
50|TD.6|La modélisation de l’usage d’un outil : une stratégie d’enseignement à explorer!|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
51|TD.7|Les consignes d’une tâche complexe requérant l’usage d’une technologie disciplinaire : quelques points importants|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
52|TP.11|Coûts et bénéfices de la réalisation d’activités expositives asynchrones.|À déterminer|Démarche d'analyse|À déterminer|À déterminer|À déterminer|À déterminer
53|TP.1|Pour éviter l’enseignement magistral déguisé…|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
54|TP.2|Comment concevoir des activités d’apprentissage signifiantes et valides en mode asynchrone : 3 éléments à retenir|À déterminer|Aide-mémoire|À déterminer|Présenter des lignes directrices pour concevoir des activités d'apprentissage signifiantes (valeur, contrôle, compétence) et valides (qui permettent d'atteindre les cibles de formation) en mode asynchrone.|CC-BY-NC-SA|15 minutes et moins
55|TP.25|Classe inversée et activités d’apprentissage asynchrones : une équipe solide!|À déterminer|Capsule stratégique|À déterminer|Logique d’articulation des activités asynchrones de type « expositive » aux activités pédagogiques synchrones en vue de favoriser la mise en action des personnes étudiantes.|CC-BY-NC-SA|20 à 45 minutes
56|TP.4|Diversifier ses modalités d’enseignement asynchrone : sur quels principes se baser?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
57|TP.5|Concevoir des activités pédagogiques collaboratives asynchrones intégrant les TIC|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
58|TP.6|La planification et l’animation d’activités synchrones avec Teams|À déterminer|Capsule stratégique|À déterminer|Présentation de stratégies pour animer efficacement une séance de formation synchrone mettant ou non en avant une pédagogie active (ex. lors d'ateliers)|CC-BY-NC-SA|15 minutes et moins
59|TP.7|Des exemples de méthodes pédagogiques collaboratives asynchrones intégrant les TIC|À déterminer|Cas de figure / exemple|À déterminer|Présentation de quelques exemples d'activités collaboratives asynchrones (cible de formation, contenu, intention pédagogique, méthode, outil)|CC-BY-NC-SA|15 minutes et moins
60|TP.8|Des capsules audio ou vidéo : quels coûts et quelle valeur pédagogique ajoutée?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
61|TP.9|Des exemples de méthodes pédagogiques individuelles asynchrones|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
62|TP.10|Des applications pratiques et des exemples d’activités pédagogiques asynchrones|À déterminer|Répertoire|À déterminer|À déterminer|À déterminer|À déterminer
63|TP.12|Diversifier ses modalités d’enseignement synchrone|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
64|TP.13|Méthodes pédagogiques collaboratives synchrones intégrant les TIC|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
65|TP.14|Coûts et bénéfices de la réalisation d’activités actives et collaboratives asynchrones|À déterminer|Démarche d'analyse|À déterminer|À déterminer|À déterminer|À déterminer
66|TP.15|Méthodes expositives ou actives en mode synchrone : quelles intentions pédagogiques?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
67|TP.16|Méthodes expositives ou actives en mode asynchrone : quelles intentions pédagogiques?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
68|TP.17|Méthodes pédagogiques asynchrones VS synchrones : quels sont les enjeux?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
69|PD.1|Des exemples d’illustrations pratiques comme amorces pédagogiques|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
70|PD.2|Des stratégies et designs pédagogiques permettant d’intégrer des illustrations pratiques et situations authentiques à un cours|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
71|PD.3|Situations authentiques et démonstrations de compétence : quelle valeur pédagogique?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
73|PD.5|Intégrer des illustrations disciplinaires à mes interventions pédagogiques : comment?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
74|PD.6|Situations authentiques et démonstrations de compétence|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
75|EP.1|Des interventions pédagogiques proactives : comment s’y prendre?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
76|EP.2|Documenter les obstacles rencontrés dans la construction d’un savoir sans se surcharger, c’est possible?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
77|EP.3|L’accompagnement pédagogique : diversifions nos méthodes selon les contextes.|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
78|EP.4|Les modalités de rétroactions collectives : une économie de temps à ne pas négliger!|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
79|EP.5|Régulons nos méthodes pédagogiques : la complémentarité du recueil d’informations formel et informel|À déterminer|Aide-mémoire|À déterminer|Présentation des caractéristiques des situations de recueil d'infos formelles (planifiées et instrumentées) VS informelles (non planifiées, non instrumentées) et de leur complémentarité.|CC-BY-NC-SA|15 minutes et moins
80|EP.6|L’accompagnement pédagogique : une pratique multifactorielle|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
81|EP.7|Solliciter des rétroactions écrites sur le déroulement du cours : quelles formes? quand les recueillir? comment s’y prendre?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
82|EP.8|Un guide d’entretien individuel semi-formel pour favoriser l’établissement d’un climat d’ouverture et de transparence entre vous et vos étudiants|À déterminer|Canevas à remplir|À déterminer|À déterminer|À déterminer|À déterminer
83|EP.9|Outil de rétroactions écrites pour soutenir la régulation de l’enseignement : quelques exemples à adapter à vos contextes pratiques|À déterminer|Canevas à remplir|À déterminer|À déterminer|À déterminer|À déterminer
84|P3|Des pistes d’intégration d’une approche pédagogique de type classe inversée|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
85|EP.11|La présence à distance par le dialogue synchrone à l’oral|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
86|EP.12|Des rétroactions orales pour soutenir la régulation de l’enseignement et de l’apprentissages|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
87|EP.13|Des exemples de situations d’apprentissage comportant des moments de rétroactions orales formelles et informelles|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
88|EP.14|Des informations à recueillir sur le déroulement du cours en vue de réguler l’enseignement.|À déterminer|Capsule stratégique|À déterminer|Présenter quels types d'informations peuvent être recueillis pour faciliter la régulation de l'enseignement (p.ex. rythme du cours, disponibilité de la formatrice, clarté de l'information présentée, structure de l'ENA, diversité des méthodes, etc.)|CC-BY-NC-SA|15 minutes et moins
89|EP.15|Les rencontres individuelles en formation à distance, une utopie?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
90|EP.16|Des méthodes de recueil individuel de l’expérience étudiante|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
91|EP.17|Le rôle du formateur selon le type de dispositif de formation : des principes à retenir|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
92|EPD.1|La transparence et le dialogue : deux atouts pédagogiques à l’établissement d’une relation pédagogique significative à distance|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
93|EPD.2|Validité des méthodes pédagogiques contextualisées au champ disciplinaire|À déterminer|Démarche d'analyse|À déterminer|À déterminer|À déterminer|À déterminer
94|EPD.3|Pour réguler l’enseignement pendant un cours : des réflexions sur les moyens dont dispose les enseignant.e.s|À déterminer|Capsule stratégique|À déterminer|Comment développer des moyens simples pour réguler votre enseignement en cours d’activité de formation  |CC-BY-NC-SA|15 minutes et moins
95|EPD.4|Des exemples de réinvestissement pour rendre le contenu signifiant aux yeux des étudiants.|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
96|EPD.5|Construire sa propre banque de ressources personnalisée : comment s’y prendre?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
97|EPD.6|Adéquation des philosophies : quelle pertinence, quelle valeur?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
98|ETP.1|Comment dynamiser une séance d’enseignement magistral synchrone?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
99|ETP.2|Valider ses choix de méthodes pédagogiques asynchrone et synchrone : l’alignement technopédagogique|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
100|ETP.3|Des modalités expositives asynchrones à découvrir.|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
101|ETP.4|Comment concevoir une capsule vidéo dynamique et pertinente?|À déterminer|Capsule stratégique|À déterminer|Présentation de conseils pour la conception d'une capsule vidéo dynamique et pertinente dans un contexte de formation en ligne.|CC-BY|15 minutes et moins
102|ETP.5|Quelles sont les caractéristiques d’une capsule vidéo riche sur le plan pédagogique?|À déterminer|Aide-mémoire|À déterminer|À déterminer|À déterminer|À déterminer
103|ETP.6|Des modalités expositives synchrones à découvrir|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
104|ETP.7|Des modalités pédagogiques actives : qu’est-ce que c’est?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
105|ETP.8|Concevoir une situation d’apprentissage et d’évaluation active synchrone : comment s’y prendre?|À déterminer|Aide-mémoire|À déterminer|Présentation d'une démarche de conception d'une situation d'apprentissage et d'évaluation active en mode synchrone à partir de questions-guides / clés/ étapes à considérer.|CC-BY-NC-SA|15 minutes et moins
106|ETP.9|Des modalités actives synchrones à découvrir.|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
107|ETP.10|La validité et la fidélité d’une situation d’évaluation des apprentissages mobilisant des outils numériques|À déterminer|Aide-mémoire|À déterminer|À déterminer|À déterminer|À déterminer
109|ETP.12|Des modalités actives asynchrones à découvrir|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
110|ETP.13|Des modalités pédagogiques collaboratives : qu’est-ce que c’est?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
111|ETD.1a|Outils technologiques et authenticité|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
112|ETD.C1b|Donner le choix des outils TIC|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
113|ETD.C1c|Apprivoiser les technologies propres à ma discipline.|À déterminer|Démarche d'analyse|À déterminer|À déterminer|À déterminer|À déterminer
114|ETD.2a|Modèles SAMR / ASPID : un outil puissant pour analyser la valeur ajoutée des technologiques à des situations d’enseignement-apprentissage et d’évaluation|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
115|ETD.2b|Adaptation d’activités de formation|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
116|ETD.3|S’initier à un nouvel outil technologique|À déterminer|Démarche d'analyse|À déterminer|À déterminer|À déterminer|À déterminer
117|ETD.4|Réaliser une veille technologique propre à un champ disciplinaire?|À déterminer|Démarche d'analyse|À déterminer|À déterminer|À déterminer|À déterminer
118|ETD.5|Évaluer la mobilisation d’outils technologiques dans le cadre d’une situation d’apprentissage : comment s’y prendre?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
119|ETD.6|Validité, fidélité et pertinence : 3 critères pour évaluer une situation d’évaluation|À déterminer|Aide-mémoire|À déterminer|À déterminer|À déterminer|À déterminer
120|ETD.7|Évaluer la mobilisation d’outils technologiques dans le cadre d’une situation d’apprentissage : pour ne pas perdre les cibles de formation de vue|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
121|TPD.1a|Articuler ses méthodes pédagogiques|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
122|TPD.1b|Sur quelle approche pédagogique baser l’articulation des activités asynchrones aux activités synchrones de manière à favoriser l’atteinte de l’objectif de formation?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
123|TPD.2|Comment réaliser efficacement une rétroaction à l’aide du numérique?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
124|TPD.3|Modalités de rétroactions synchrones|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
125|TPD.4|Modalités de rétroactions asynchrones|À déterminer|Cas de figure / exemple|À déterminer|À déterminer|À déterminer|À déterminer
126|TPD.5|Des exemples d’instruments numériques pour rétroagir sur une tâche simple ou complexe|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
127|TPD.6|Des plages horaires de travail formel sur des productions complexes : quelle valeur pédagogique ajoutée?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
128|TPD.7|La méthode POMODORO|À déterminer|Aide-mémoire|À déterminer|À déterminer|À déterminer|À déterminer
129|TPD.8|Encadrer la poursuite d’activités d’apprentissage entamées lors de séances synchrones : comment bien investir mon temps?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
130|TPD.9|Des instruments d’évaluation pour encadrer la poursuite d’activités d’apprentissage entamées lors de séances synchrones|À déterminer|Cas de figure / exemple|À déterminer|Poursuivre en mode asynchrone des activités entamées lors de rencontre synchrone et prévoir des instruments d’évaluation à cet effet|CC-BY-NC-SA|15 minutes et moins
131|TPD.10|Quoi considérer comme contenu de formation complémentaire et dans quel format le présenter?|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
132|TPD.11|Présentation d'une démarche d'alignement technopédagogique en étapes|À déterminer|Démarche d'analyse|À déterminer|À déterminer|À déterminer|À déterminer
133|TPD.12|Alignement technopédagogique : 5 principes à garder à l'esprit|À déterminer|Aide-mémoire|À déterminer|À déterminer|À déterminer|À déterminer
134|TPD.13|Alignement technopédagogique|À déterminer|Canevas à remplir|À déterminer|À déterminer|À déterminer|À déterminer
135|TPD.14|L’alignement pédagonumérique, c'est mathématique!|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
136|TPD.15|Je me pose les questions suivantes lorsque je produis une situation typique d’enseignement-apprentissage en contexte de formation intégrant les TIC|À déterminer|Capsule stratégique|À déterminer|À déterminer|À déterminer|À déterminer
137|TP.18|Guide des outils Moodle pour les formatrices et formateurs|À déterminer|Aide-mémoire|https://moodletoolguide.net/fr/|Ce guide est un aide-mémoire pour utiliser Moodle (utilisation pédagogique et niveau taxonomique)|CC-BY|20 à 45 minutes
138|TP.19|Exploiter l’environnement numérique d’apprentissage numérique|À déterminer|Aide-mémoire|À déterminer|Comment exploiter les plateformes numériques proposées par l’Université de Sherbrooke.|CC-BY|15 minutes et moins
139|TP.20|Liste de vérification : structure de l’environnement numérique d’apprentissage|À déterminer|À déterminer|À déterminer|Cette liste de vérification permet une analyse rapide de son environnement numérique d’apprentissage|CC-BY-NC-SA|15 minutes et moins
140|ETP.20|Droits d’auteurs en contexte de formation à distance|À déterminer|Capsule stratégique|https://fabriquerel.org/wp-content/uploads/notions_essentielles_droit_auteur_contexte_FAD.pdf|Basée sur le droit d’auteur, cette présentation permet de se familiariser avec les concepts usuels et de répondre aux interrogations à cet égard en contexte de formation à distance.|CC-BY|20 à 45 minutes
141|TP.21|Bonnes pratiques en formation en ligne|À déterminer|Aide-mémoire|https://view.genial.ly/5f7dd1dadc89090cf0baed01/horizontal-infographic-lists-bonnes-pratiques-en-ligne|Quelques bonnes pratiques à mettre en lumières en formation à distance (écrit, non-verbal et engagement)|CC-BY|15 minutes et moins
142|TP.22|Préparer les personnes étudiantes à suivre une formation en ligne|À déterminer|Capsule stratégique|À déterminer|Document préparatoire pour une formation à distance|CC-BY-NC-SA|15 minutes et moins
143|TP.23|Consignes claires pour susciter l'engagement|À déterminer|À déterminer|À déterminer|À déterminer|À déterminer|À déterminer
144|TP.24|Stratégie pour préparer et animer une séance de webconférence engageante avec allers-retours en grand groupe, sous-groupes et équipes|À déterminer|Capsules vidéos|https://www.youtube.com/watch?v=KsRTac_QeHg|Un webinaire qui traite de choix pédagogiques en formation à distance lors de séances synchrone souhaitant favoriser l’engagement des personnes étudiantes.|CC-BY|50 minutes à 1h30
145|ETP.21|Suggestions de modalités d'évaluation en contexte de formation à distance|À déterminer|Aide-mémoire|À déterminer|Tableau synthèse des méthodes d'évaluation intégrant le numérique|CC-BY|15 minutes et moins
